Brilliant Lavender,#F4BBFF,290,0.27,1,
Brilliant Rose,#FF55A3,332,0.67,1,
Brink Pink,#FB607F,348,0.62,0.98,
British Racing Green,#004225,154,1,0.26,
Bronze,#CD7F32,30,0.76,0.8,
Bronze Yellow,#737000,58,1,0.45,
Brown (Traditional),#964B00,30,1,0.59,
Brown (Web),#A52A2A,0,0.75,0.65,
Brown-Nose,#6B4423,28,0.67,0.42,
Brown Yellow,#cc9966,30,0.5,0.8,
Brunswick Green,#1B4D3E,162,0.65,0.3,
Bubble Gum,#FFC1CC,349,0.24,1,
Bubbles,#E7FEFF,183,0.09,1,
Buff,#F0DC82,49,0.46,0.94,
Bud Green,#7BB661,102,0.47,0.71,
Bulgarian Rose,#480607,359,0.92,0.28,
Burgundy,#800020,345,1,0.5,
Burlywood,#DEB887,34,0.39,0.87,
Burnt Orange,#CC5500,25,1,0.8,
Burnt Sienna,#E97451,14,0.65,0.91,
Burnt Umber,#8A3324,9,0.74,0.54,
Byzantine,#BD33A4,311,0.73,0.74,
Byzantium,#702963,311,0.63,0.44,
Cadet,#536872,199,0.27,0.45,
Cadet Blue,#5F9EA0,182,0.41,0.63,
Cadet Grey,#91A3B0,205,0.18,0.69,
Cadmium Green,#006B3C,154,1,0.42,
Cadmium Orange,#ED872D,28,0.81,0.93,
Cadmium Red,#E30022,351,1,0.89,
Cadmium Yellow,#FFF600,58,1,1,
Caf_ Au Lait,#A67B5B,26,0.45,0.65,
Caf_ Noir,#4B3621,30,0.56,0.29,
Cal Poly Green,#1E4D2B,137,0.61,0.3,
Cambridge Blue,#A3C1AD,140,0.16,0.76,
Camel,#C19A6B,33,0.45,0.76,
Cameo Pink,#EFBBCC,340,0.22,0.94,
Camouflage Green,#78866B,91,0.2,0.53,
Canary Yellow,#FFEF00,56,1,1,
Candy Apple Red,#FF0800,2,1,1,
Candy Pink,#E4717A,355,0.5,0.89,
Capri,#00BFFF,195,1,1,
Caput Mortuum,#592720,7,0.64,0.35,
Cardinal,#C41E3A,350,0.85,0.77,
Caribbean Green,#00CC99,165,1,0.8,
Carmine,#960018,350,1,0.59,
Carmine (M&P),#D70040,342,1,0.84,
Carmine Pink,#EB4C42,4,0.72,0.92,
Carmine Red,#FF0038,347,1,1,
Carnation Pink,#FFA6C9,336,0.35,1,
Carnelian,#B31B1B,0,0.85,0.7,
Carolina Blue,#56A0D3,204,0.59,0.83,
Carrot Orange,#ED9121,33,0.86,0.93,
Castleton Green,#00563F,164,1,0.34,
Catalina Blue,#062A78,221,0.95,0.47,
Catawba,#703642,348,0.52,0.44,
Cedar Chest,#C95A49,8,0.64,0.79,
Ceil,#92A1CF,225,0.29,0.81,
Celadon,#ACE1AF,123,0.24,0.88,
Celadon Blue,#007BA7,196,1,0.65,
Celadon Green,#2F847C,174,0.64,0.52,
Celeste,#B2FFFF,180,0.3,1,
Celestial Blue,#4997D0,205,0.65,0.82,
Cerise,#DE3163,343,0.78,0.87,
Cerise Pink,#EC3B83,336,0.75,0.93,
Cerulean,#007BA7,196,1,0.65,
Cerulean Blue,#2A52BE,224,0.78,0.75,
Cerulean Frost,#6D9BC3,208,0.44,0.76,
CG Blue,#007AA5,196,1,0.65,
CG Red,#E03C31,4,0.78,0.88,
Chamoisee,#A0785A,26,0.44,0.63,
Champagne,#F7E7CE,37,0.17,0.97,
Charcoal,#36454F,204,0.32,0.31,
Charleston Green,#232B2B,180,0.19,0.17,
Charm Pink,#E68FAC,340,0.38,0.9,
Chartreuse (Traditional),#DFFF00,68,1,1,
Chartreuse (Web),#7FFF00,90,1,1,
Cherry,#DE3163,343,0.78,0.87,
Cherry Blossom Pink,#FFB7C5,348,0.28,1,
Chestnut,#954535,10,0.64,0.58,
China Pink,#DE6FA1,333,0.5,0.87,
China Rose,#A8516E,340,0.52,0.66,
Chinese Red,#AA381E,11,0.82,0.67,
Chinese Violet,#856088,296,0.29,0.53,
Chocolate (Traditional),#7B3F00,31,1,0.48,
Chocolate (Web),#D2691E,25,0.86,0.82,
Chrome Yellow,#FFA700,39,1,1,
Cinereous,#98817B,12,0.19,0.6,
Cinnabar,#E34234,5,0.77,0.89,
Cinnamon[Citation Needed],#D2691E,25,0.86,0.82,
Citrine,#E4D00A,54,0.96,0.89,
Citron,#9FA91F,64,0.82,0.66,
Claret,#7F1734,343,0.82,0.5,
Classic Rose,#FBCCE7,326,0.19,0.98,
